TOKEN	NE-COARSE-LIT	MISC
La	O	
corruption	B-TERM	
?	O	
Pas	O	
dans	O	
notre	O	
entreprise	B-TERM	
...	O	
la	O	
prévention	O	
de	O	
la	O	
corruption	B-TERM	
dans	O	
les	O	
entreprises	B-TERM	
Avant-propos	O	
La	O	
Belgique	B-TERM	
,	O	
consciente	O	
de	O	
sa	O	
position	O	
centrale	O	
au	O	
sein	O	
de	O	
l'	O	
Union	B-TERM	
européenne	I-TERM	
,	O	
s'	O	
est	O	
engagée	O	
depuis	O	
de	O	
très	O	
nombreuses	O	
années	O	
à	O	
l'	O	
égard	O	
de	O	
la	O	
lutte	B-TERM	
contre	I-TERM	
la	I-TERM	
corruption	I-TERM	
dans	O	
le	O	
cadre	O	
de	O	
ses	O	
échanges	B-TERM	
commerciaux	I-TERM	
,	O	
nationaux	O	
et	O	
internationaux	O	
.	O	
À	O	
ce	O	
titre	O	
,	O	
une	O	
importante	O	
réforme	O	
a	O	
été	O	
opérée	O	
fin	O	
des	O	
années	O	
90	O	
complétée	O	
dernièrement	O	
quant	O	
aux	O	
aspects	O	
de	O	
la	O	
responsabilité	B-TERM	
pénale	I-TERM	
des	O	
personnes	B-TERM	
morales	I-TERM	
que	O	
pour	O	
ceux	O	
qui	O	
touchent	O	
aux	O	
implications	O	
fiscales	B-TERM	
et	O	
pénales	B-TERM	
.	O	
Depuis	O	
,	O	
la	O	
lutte	B-TERM	
contre	I-TERM	
la	I-TERM	
corruption	I-TERM	
est	O	
une	O	
priorité	O	
du	O	
Gouvernement	B-TERM	
belge	O	
inscrite	O	
dans	O	
le	O	
Plan	B-TERM	
National	I-TERM	
de	I-TERM	
Sécurité	I-TERM	
2008	I-TERM	
-	I-TERM	
2011	I-TERM	
.	O	
La	O	
corruption	B-TERM	
peut	O	
prendre	O	
de	O	
nombreuses	O	
formes	O	
et	O	
est	O	
sanctionnée	B-TERM	
sévèrement	O	
.	O	
Par	O	
cette	O	
brochure	O	
,	O	
la	O	
Belgique	B-TERM	
souhaite	O	
sensibiliser	O	
les	O	
entreprises	B-TERM	
actives	O	
sur	O	
les	O	
marchés	B-TERM	
internationaux	O	
des	O	
biens	B-TERM	
et	O	
services	O	
à	O	
ces	O	
conséquences	O	
.	O	
Un	O	
management	B-TERM	
responsable	B-TERM	
nécessite	O	
une	O	
stratégie	O	
clairement	O	
définie	O	
de	O	
ce	O	
qui	O	
est	O	
accepté	O	
,	O	
tolérable	O	
ou	O	
inadmissible	O	
.	O	
Par	O	
cette	O	
brochure	O	
,	O	
la	O	
Belgique	B-TERM	
souhaite	O	
mettre	O	
en	O	
garde	O	
et	O	
prévenir	O	
les	O	
acteurs	B-TERM	
commerciaux	I-TERM	
des	O	
risques	O	
encourus	O	
dans	O	
leurs	O	
échanges	B-TERM	
professionnels	I-TERM	
.	O	
Qu'	O	
est-ce	O	
que	O	
la	O	
corruption	B-TERM	
?	O	
La	O	
corruption	B-TERM	
est	O	
un	O	
phénomène	O	
de	O	
criminalité	B-TERM	
pouvant	O	
causer	O	
des	O	
dommages	O	
considérables	O	
à	O	
la	O	
société	B-TERM	
.	O	
Elle	O	
entraîne	O	
une	O	
distorsion	B-TERM	
de	I-TERM	
la	I-TERM	
concurrence	I-TERM	
,	O	
effraie	O	
les	O	
investisseurs	O	
et	O	
compromet	O	
le	O	
développement	O	
des	O	
entreprises	B-TERM	
saines	O	
.	O	
La	O	
corruption	B-TERM	
est	O	
condamnable	O	
sur	O	
le	O	
plan	O	
moral	O	
.	O	
Elle	O	
sape	O	
la	O	
confiance	O	
en	O	
la	O	
société	B-TERM	
et	O	
la	O	
démocratie	O	
.	O	
Le	O	
monde	B-TERM	
des	I-TERM	
affaires	I-TERM	
la	O	
considère	O	
comme	O	
le	O	
principal	O	
obstacle	O	
aux	O	
investissements	B-TERM	
dans	O	
certains	O	
pays	O	
.	O	
À	O	
plus	O	
long	O	
terme	O	
,	O	
la	O	
corruption	B-TERM	
entraîne	O	
des	O	
surcoûts	B-TERM	
,	O	
pour	O	
la	O	
collectivité	B-TERM	
et	O	
les	O	
entreprises	B-TERM	
.	O	
Souvent	O	
,	O	
elle	O	
s'	O	
accompagne	O	
également	O	
d'	O	
une	O	
perte	O	
de	O	
qualité	O	
et	O	
de	O	
sécurité	O	
.	O	
La	O	
corruption	B-TERM	
consiste	O	
,	O	
tant	O	
pour	O	
une	O	
personne	B-TERM	
morale	I-TERM	
que	O	
physique	B-TERM	
,	O	
à	O	
solliciter	O	
,	O	
accepter	O	
ou	O	
recevoir	O	
un	O	
avantage	B-TERM	
de	O	
quelque	O	
nature	O	
que	O	
ce	O	
soit	O	
,	O	
afin	O	
d'	O	
adopter	O	
un	O	
comportement	O	
déterminé	O	
dans	O	
le	O	
cadre	O	
de	O	
sa	O	
fonction	O	
