TOKEN	NE-COARSE-LIT	MISC
Corruptie	B-TERM	
?	O	
Niet	O	
in	O	
ons	O	
bedrijf	B-TERM	
…	O	
Preventie	O	
van	O	
corruptie	B-TERM	
in	O	
het	O	
bedrijfsleven	B-TERM	
Voorwoord	O	
België	B-TERM	
is	O	
zich	O	
bewust	O	
van	O	
zijn	O	
centrale	O	
positie	O	
binnen	O	
de	O	
Europese	B-TERM	
Unie	I-TERM	
en	O	
zet	O	
zich	O	
sinds	O	
heel	O	
wat	O	
jaren	O	
in	O	
voor	O	
de	O	
strijd	B-TERM	
tegen	I-TERM	
corruptie	I-TERM	
in	O	
het	O	
kader	O	
van	O	
nationale	O	
en	O	
internationale	O	
commerciële	B-TERM	
transacties	I-TERM	
.	O	
Hiertoe	O	
werd	O	
,	O	
op	O	
het	O	
einde	O	
van	O	
de	O	
jaren	O	
'	O	
90	O	
,	O	
een	O	
belangrijke	O	
hervorming	O	
doorgevoerd	O	
met	O	
betrekking	O	
tot	O	
de	O	
aspecten	O	
van	O	
zowel	O	
de	O	
strafrechtelijke	B-TERM	
verantwoordelijkheid	I-TERM	
van	O	
rechtspersonen	B-TERM	
als	O	
fiscale	B-TERM	
en	O	
strafrechtelijke	B-TERM	
implicaties	O	
.	O	
Sindsdien	O	
is	O	
de	O	
strijd	B-TERM	
tegen	I-TERM	
corruptie	I-TERM	
een	O	
prioriteit	O	
van	O	
de	O	
Belgische	O	
regering	B-TERM	
in	O	
het	O	
Nationale	B-TERM	
Veiligheidplan	I-TERM	
2008	I-TERM	
-	I-TERM	
2011	I-TERM	
.	O	
Corruptie	B-TERM	
komt	O	
onder	O	
verschillende	O	
vormen	O	
voor	O	
en	O	
wordt	O	
streng	O	
bestraft	B-TERM	
.	O	
Via	O	
deze	O	
brochure	O	
wil	O	
België	B-TERM	
de	O	
bedrijven	B-TERM	
die	O	
op	O	
de	O	
internationale	O	
markten	B-TERM	
van	O	
goederen	B-TERM	
en	O	
diensten	O	
actief	O	
zijn	O	
,	O	
sensibiliseren	O	
voor	O	
de	O	
gevolgen	O	
van	O	
corruptie	B-TERM	
.	O	
Een	O	
verantwoordelijk	O	
management	B-TERM	
vereist	O	
een	O	
duidelijk	O	
omschreven	O	
definitie	O	
van	O	
wat	O	
aanvaardbaar	O	
of	O	
onaanvaardbaar	O	
is	O	
.	O	
Met	O	
deze	O	
brochure	O	
wil	O	
België	B-TERM	
de	O	
commerciële	B-TERM	
actoren	O	
informeren	O	
en	O	
waarschuwen	O	
voor	O	
de	O	
risico's	O	
die	O	
met	O	
hun	O	
professionele	B-TERM	
contacten	I-TERM	
gepaard	O	
gaan	O	
.	O	
Wat	O	
is	O	
corruptie	B-TERM	
?	O	
Corruptie	B-TERM	
is	O	
een	O	
criminaliteitsfenomeen	B-TERM	
dat	O	
heel	O	
wat	O	
maatschappelijke	B-TERM	
schade	O	
kan	O	
aanrichten	O	
.	O	
Het	O	
leidt	O	
tot	O	
concurrentievervalsing	B-TERM	
,	O	
schrikt	O	
investeerders	O	
af	O	
en	O	
brengt	O	
de	O	
verdere	O	
ontwikkeling	O	
van	O	
gezonde	O	
ondernemingen	B-TERM	
in	O	
gevaar	O	
.	O	
Corruptie	B-TERM	
is	O	
moreel	O	
verwerpelijk	O	
en	O	
ondergraaft	O	
het	O	
vertrouwen	O	
in	O	
de	O	
maatschappij	B-TERM	
en	O	
de	O	
democratie	O	
.	O	
Zij	O	
wordt	O	
door	O	
het	O	
zakenleven	B-TERM	
als	O	
de	O	
belangrijkste	O	
hinderpaal	O	
van	O	
investeringen	B-TERM	
in	O	
bepaalde	O	
landen	O	
beschouwd	O	
.	O	
Op	O	
langere	O	
termijn	O	
veroorzaakt	O	
corruptie	B-TERM	
een	O	
meerkost	B-TERM	
,	O	
zowel	O	
voor	O	
de	O	
gemeenschap	O	
als	O	
voor	O	
de	O	
bedrijven	B-TERM	
.	O	
Het	O	
gaat	O	
ook	O	
dikwijls	O	
gepaard	O	
met	O	
een	O	
verlies	O	
aan	O	
kwaliteit	O	
en	O	
aan	O	
veiligheid	O	
.	O	
Voor	O	
zowel	O	
een	O	
rechtspersoon	B-TERM	
als	O	
een	O	
natuurlijk	B-TERM	
persoon	I-TERM	
is	O	
corruptie	B-TERM	
het	O	
verzoeken	O	
,	O	
aanvaarden	O	
of	O	
ontvangen	O	
van	O	
een	O	
voordeel	B-TERM	
van	O	
eender	O	
welke	O	
aard	O	
om	O	
,	O	
in	O	
het	O	
kader	O	
van	O	
zijn	O	
functie	O	
,	O	
een	O	
welbepaald	O	
gedrag	O	
aan	O	
te	O	
nemen	O	
.	O	
Het	O	
is	O	
ook	O	
het	O	
voorstellen	O	
of	O	
verlenen	O	
van	O	
een	O	
dergelijk	O	
voordeel	B-TERM	
opdat	O	
een	O	
persoon	O	
een	O	
dergelijk	O	
gedrag	O	
zou	O	
aannemen	O	
.	O	
De	O	
wetgeving	B-TERM	
is	O	
van	O	
toepassing	O	
op	O	
Belgische	O	
personen	O	
en	O	
bedrijven	B-TERM	
,	O	
actief	O	
zowel	O	
in	O	
België	B-TERM	
als	O	
in	O	
het	O	
buitenland	O	
.	O	
België	B-TERM	
maakt	O	
ook	O	
geen	O	
onderscheid	O	
tussen	O	
nationale	O	
,	O	
internationale	O	
en	O	
buitenlandse	O	
ambtenaren	B-TERM	
.	O	
Het	O	
maakt	O	
niet	O	
uit	O	
of	O	
de	O	
omkoping	B-TERM	
rechtstreeks	O	
of	O	
via	O	
tussenpersonen	B-TERM	
gebeurt	O	
,	O	
noch	O	
of	O	
het	O	
voordeel	B-TERM	
voor	O	
zichzelf	O	
of	O	
voor	O	
een	O	
derde	B-TERM	
bedoeld	O	
is	O	
.	O	
Het	O	
is	O	
ook	O	
irrelevant	O	
of	O	
dit	O	
in	O	
de	O	
publieke	B-TERM	
of	O	
de	O	
private	B-TERM	
sector	I-TERM	
gebeurt	O	
.	O	
Zowel	O	
de	O	
persoon	O	
die	O	
dergelijke	O	
voordelen	B-TERM	
aanbiedt	O	
als	O	
de	O	
persoon	O	
die	O	
ze	O	
aanvaardt	O	
,	O	
kunnen	O	
veroordeeld	B-TERM	
worden	O	
voor	O	
corruptie	B-TERM	
.	O	
De	O	
Belgische	O	
wetgeving	B-TERM	
viseert	O	
bijgevolg	O	
zowel	O	
de	O	
publieke	B-TERM	
als	O	
de	O	
private	B-TERM	
omkoping	I-TERM	
en	O	
zowel	O	
de	O	
actieve	B-TERM	
als	O	
de	O	
passieve	B-TERM	
omkoping	I-TERM	
.	O	
Met	O	
andere	O	
woorden	O	
,	O	
corruptie	B-TERM	
kan	O	
zich	O	
voordoen	O	
op	O	
