TOKEN	NE-COARSE-LIT
Corruption	B_TERM
?	O
Not	O
in	O
our	O
company	B_TERM
…	O
Preventing	O
corruption	B_TERM
in	O
corporate	B_TERM
life	O
Preface	O
Conscious	O
of	O
its	O
central	O
position	O
within	O
the	O
European	O
Union	O
,	O
Belgium	O
has	O
,	O
for	O
many	O
years	O
,	O
taken	O
a	O
firm	O
line	O
against	O
corruption	B_TERM
in	O
national	O
and	O
international	O
transactions	B_TERM
.	O
For	O
this	O
purpose	O
,	O
a	O
major	O
reform	O
was	O
carried	O
out	O
at	O
the	O
end	O
of	O
the	O
1990s	O
.	O
This	O
affected	O
aspects	O
of	O
both	O
the	O
criminal	B_TERM
liability	I_TERM
of	O
legal	B_TERM
persons	I_TERM
and	O
the	O
implications	O
in	O
fiscal	B_TERM
and	O
criminal	B_TERM
law	I_TERM
.	O
Since	O
then	O
,	O
action	O
against	O
corruption	B_TERM
has	O
been	O
a	O
priority	O
of	O
the	O
Belgian	O
government	B_TERM
in	O
its	O
National	O
Security	O
Plan	O
2008	O
-	O
2011	O
.	O
Corruption	B_TERM
occurs	O
in	O
various	O
forms	O
and	O
attracts	O
severe	O
penalties	B_TERM
.	O
By	O
means	O
of	O
this	O
brochure	O
,	O
Belgium	O
wants	O
to	O
raise	O
the	O
awareness	O
of	O
companies	B_TERM
engaged	O
in	O
the	O
international	O
markets	B_TERM
for	O
goods	B_TERM
and	O
services	O
about	O
the	O
consequences	O
of	O
corruption	B_TERM
.	O
Responsible	O
management	O
requires	O
a	O
clear	O
definition	O
of	O
what	O
is	O
acceptable	O
or	O
unacceptable	O
.	O
Belgium	O
hopes	O
that	O
this	O
brochure	O
will	O
raise	O
the	O
awareness	O
of	O
commercial	B_TERM
players	O
and	O
warn	O
them	O
of	O
the	O
risks	O
associated	O
with	O
their	O
business	B_TERM
contacts	I_TERM
.	O
What	O
is	O
corruption	B_TERM
?	O
Corruption	B_TERM
is	O
a	O
manifestation	O
of	O
criminality	B_TERM
.	O
It	O
can	O
be	O
very	O
damaging	O
to	O
companies	B_TERM
and	O
to	O
society	B_TERM
.	O
It	O
leads	O
to	O
distortion	B_TERM
of	I_TERM
competition	I_TERM
,	O
frightens	O
off	O
investors	O
and	O
jeopardizes	O
the	O
further	O
development	O
of	O
