TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	label
Redaktion:	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Vom	O	_	O	_	_	O	_	_	_	6
Tage	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Wien	B-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter	0
,	O	_	O	_	_	O	_	_	_	6
5	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Juli	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
erfahren	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
„	O	_	O	_	_	O	_	_	NoSpaceAfter	6
welche	O	_	O	_	_	O	_	_	_	6
einzelne	O	_	O	_	_	O	_	_	_	6
Individuen	O	_	O	_	_	O	_	_	_	6
oder	O	_	O	_	_	O	_	_	_	6
Bevölkerungs¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
Der	O	_	O	_	_	O	_	_	_	6
Minister	O	_	O	_	_	O	_	_	_	6
des	O	_	O	_	_	O	_	_	_	6
Innern	O	_	O	_	_	O	_	_	_	6
wünschte	O	_	O	_	_	O	_	_	_	6
gestern	O	_	O	_	_	O	_	_	_	6
zu	O	_	O	_	_	O	_	_	NoSpaceAfter	6
erfahren	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
„	O	_	O	_	_	O	_	_	NoSpaceAfter	6
welche	O	_	O	_	_	O	_	_	_	6
einzelne	O	_	O	_	_	O	_	_	_	6
Individuen	O	_	O	_	_	O	_	_	_	6
oder	O	_	O	_	_	O	_	_	_	6
Bevölkerungs¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
klassen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
""""	O	_	O	_	_	O	_	_	_	6
unter	O	_	O	_	_	O	_	_	_	6
dem	O	_	O	_	_	O	_	_	_	6
Ausnahmszustand	O	_	O	_	_	O	_	_	_	6
leiden	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Der	O	_	O	_	_	O	_	_	_	6
Ab¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
geordnete	O	_	O	_	_	O	_	_	_	6
Kramarsch	B-PER	_	O	_	_	O	NIL	_	_	1
hat	O	_	O	_	_	O	_	_	_	6
heute	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
einer	O	_	O	_	_	O	_	_	_	6
sehr	O	_	O	_	_	O	_	_	_	6
eindrucks¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
vollen	O	_	O	_	_	O	_	_	_	6
Rede	O	_	O	_	_	O	_	_	_	6
dargelegt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
welche	O	_	O	_	_	O	_	_	_	6
entsittlichende	O	_	O	_	_	O	_	_	_	6
Wirkungen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
der	O	_	O	_	_	O	_	_	_	6
Ausnahmszustand	O	_	O	_	_	O	_	_	_	6
für	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Verwaltung	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Prag	B-LOC	_	O	_	_	O	Q1085	_	NoSpaceAfter	0
nach	O	_	O	_	_	O	_	_	_	6
sich	O	_	O	_	_	O	_	_	_	6
zieht	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
wie	O	_	O	_	_	O	_	_	_	6
auch	O	_	O	_	_	O	_	_	_	6
nicht	O	_	O	_	_	O	_	_	_	6
ein	O	_	O	_	_	O	_	_	_	6
